run,image,encode_seconds,decode_seconds
0,90,2.4137856000015745,2.390629600005923
0,91,2.408169899994391,2.3848108999955
0,92,2.4149483000073815,2.3741480999888154
0,93,2.367362899996806,2.3623404999962077
0,94,2.367148500008625,2.3443414000066696
0,95,2.384534500000882,2.370855900007882
0,96,2.361281899997266,2.3391699999920093
0,97,2.3504749999992782,2.366235499997856
0,98,2.3533781000005547,2.375162600001204
0,99,2.3386425000062445,2.3105500000092434
1,0,2.448859900003299,2.368774599992321
1,1,2.3207380999956513,2.3285949999990407
1,2,2.3529121999890776,2.343800500006182
1,3,2.3840027999976883,2.4157298000063747
1,4,2.384197999999742,2.351192700007232
1,5,2.3571641000016825,2.387933100006194
1,6,2.4165442999947118,2.3855731999938143
1,7,2.4643832000001566,2.4140046999964397
1,8,2.467954399995506,2.5418281000020215
1,9,2.4430623999942327,2.470035899998038
1,10,2.559621899999911,2.4022703999944497
1,11,2.397279400000116,2.347456000003149
1,12,2.3839188999991165,2.3517061000020476
1,13,2.352630399996997,2.3522309999971185
1,14,2.3635463999962667,2.3536802000016905
1,15,2.3595344000059413,2.331649699990521
1,16,2.3433089000027394,2.319110099997488
1,17,2.356026200010092,2.3921963999891886
1,18,2.332253700005822,2.311963600004674
1,19,2.3389880000031553,2.3610466999962227
1,20,2.336251500004437,2.349313099999563
1,21,2.338753399992129,2.383412099996349
1,22,2.374166499997955,2.3620656999992207
1,23,2.3670209999982035,2.350927399995271
1,24,2.320750600003521,2.3442703000037
1,25,2.3492860999976983,2.3552496999909636
1,26,2.326759999996284,2.329012399990461
1,27,2.3416047999926377,2.330288199998904
1,28,2.3340058000030695,2.35647619998781
1,29,2.3628960000060033,2.310095900000306
1,30,2.3536822000023676,2.3526310000015656
1,31,2.334581500006607,2.327716700005112
1,32,2.342326799989678,2.3678796000021975
1,33,2.344769700008328,2.3413456000125734
1,34,2.3743271000130335,2.349536400011857
1,35,2.3627772000036202,2.3590881999989506
1,36,2.3664709000004223,2.3846919999923557
1,37,2.373319200007245,2.3429443999921205
1,38,2.395010200008983,2.383579400004237
1,39,2.3527914000005694,2.3755069999897387
1,40,2.4030857000034302,2.348394799992093
1,41,2.3447373999952106,2.35234679999121
1,42,2.3702134000050137,2.3710914999974193
1,43,2.3881300000066403,2.369471699988935
1,44,2.344111400001566,2.363951699997415
1,45,2.359780300001148,2.3633291000005556
1,46,2.353126499991049,2.347230200000922
1,47,2.361505099994247,2.3497591000050306
1,48,2.355608999991091,2.3423629000026267
1,49,2.3472525000106543,2.345470700005535
1,50,2.3570004000066547,2.36044820000825
1,51,2.4236791000002995,2.3336328999866964
1,52,2.414251999987755,2.401554700001725
1,53,2.370212999987416,2.349289600009797
1,54,2.329608099986217,2.3537828999978956
1,55,2.358354199997848,2.3537753999989945
1,56,2.4002909999981057,2.390743099997053
1,57,2.3631572000012966,2.370142300002044
1,58,2.3690795000002254,2.3537955000065267
1,59,2.375521599999047,2.435551200003829
1,60,2.3741390999930445,2.3349309000041103
1,61,2.423362800007453,2.38399329999811
1,62,2.3616955999896163,2.332244500008528
1,63,2.4072357999975793,2.3289426999981515
1,64,2.3289496999932453,2.340196000004653
1,65,2.3282921999925748,2.3279409000097075
1,66,2.353650299992296,2.4396730000007665
1,67,2.4031213999987813,2.363631500003976
1,68,2.3837158999958774,2.3973279999918304
1,69,2.5235856999934185,2.3888464999909047
1,70,2.3822658999997657,2.3613354000117397
1,71,2.3994619000004604,2.3586298000009265
1,72,2.3572262000088813,2.3674119999923278
1,73,2.3739701000013156,2.3641496999916853
1,74,2.4100175999919884,2.4782515999977477
1,75,2.3511780999979237,2.5196542000048794
1,76,2.3417138999939198,2.357878199996776
1,77,2.339749999999185,2.322054100004607
1,78,2.358717200011597,2.327588200001628
1,79,2.342312100008712,2.3260612999874866
1,80,2.334744400010095,2.3398237000074005
1,81,2.411278700004914,2.3166090000013355
1,82,2.3981010999996215,2.3400818000081927
1,83,2.3382656000030693,2.3430080999969505
1,84,2.3956477000028826,2.3332801000069594
1,85,2.358920800004853,2.357345099997474
1,86,2.3674177000066265,2.3379232000006596
1,87,2.379882599998382,2.351161400001729
1,88,2.365309000000707,2.351811299988185
1,89,2.388456899992889,2.355256900002132
1,90,2.3509930000000168,2.3358191000006627
1,91,2.328258100009407,2.330104200009373
1,92,2.355247600004077,2.4633546999975806
1,93,2.3467933000065386,2.332580300004338
1,94,2.37117009999929,2.479253700003028
1,95,2.4373762000032,2.4933149999997113
1,96,2.36848989999271,2.375889000002644
1,97,2.3313502999953926,2.3743682999920566
1,98,2.3508187999977963,2.3202968999976292
1,99,2.3706176999985473,2.3416986000083853
2,0,2.3455996999982744,2.323916699999245
2,1,2.350719999987632,2.317154500007746
2,2,2.3620402999949874,2.325312100001611
2,3,2.356984400001238,2.339355099989916
2,4,2.346282999991672,2.3422445000032894
2,5,2.3461337000044296,2.3183207999973092
2,6,2.366498599993065,2.354955399991013
2,7,2.3294732999929693,2.3446095999970566
2,8,2.370937800005777,2.367896700001438
2,9,2.4581380000017816,2.374632200007909
2,10,2.3863293000031263,2.337401899989345
2,11,2.338460099999793,2.367545999994036
2,12,2.3737026000017067,2.3265650999965146
2,13,2.3684615999954985,2.3420545999979367
2,14,2.393217500008177,2.354989100000239
2,15,2.37652390000585,2.3574732999986736
2,16,2.402396499994211,2.3572438999981387
2,17,2.347534900007304,2.351805400001467
2,18,2.3643169999995735,2.418738000007579
2,19,2.3675141999992775,2.394878399994923
2,20,2.3493413000105647,2.3458378999930574
2,21,2.365167299998575,2.402467100007925
2,22,2.4076358000020264,2.3687541999970563
2,23,2.4017258000094444,2.3305320000072243
2,24,2.3726725000014994,2.361832800001139
2,25,2.394140199990943,2.3569887000048766
2,26,2.342484799999511,2.3376806000014767
2,27,2.3492572999966796,2.340401399997063
2,28,2.3349328999902355,2.3494133000058355
2,29,2.3370099000021582,2.324924700005795
2,30,2.355721200001426,2.340232399990782
2,31,2.3419347000017297,2.3326746999955503
2,32,2.3510332999867387,2.36673090000113
2,33,2.371277899990673,2.3132555000047432
2,34,2.3630550999951083,2.340507400003844
2,35,2.3953318999992916,2.3431590999971377
2,36,2.3518268000043463,2.344165000002249
2,37,2.3737989000073867,2.362692299997434
2,38,2.3497455999895465,2.559593900004984
2,39,2.4798008000070695,2.3495570000086445
2,40,2.3281316999928094,2.3750782999995863
2,41,2.3564283000014257,2.379061899991939
2,42,2.3785863000084646,2.3681330000108574
2,43,2.36178170000494,2.3496831000084057
2,44,2.358905400004005,2.376685600000201
2,45,2.386530000003404,2.3694509000051767
2,46,2.3769251000048826,2.353211999987252
2,47,2.393080399997416,2.3560008999920683
2,48,2.3751671999925748,2.31946379999863
2,49,2.354570199997397,2.3702649000042584
2,50,2.333861099992646,2.3214703999983612
2,51,2.372038799992879,2.3695936000003712
2,52,2.3437855999945896,2.3414228000037838
2,53,2.370898599998327,2.3698420000000624
2,54,2.3366351000004215,2.3396096999931615
2,55,2.356672100009746,2.3371151000028476
2,56,2.366197099996498,2.349415799995768
2,57,2.3501977999985684,2.3557328000024427
2,58,2.4092583999881754,2.333361500001047
2,59,2.3541169999953127,2.355154600008973
2,60,2.351603699993575,2.333574899996165
2,61,2.4021328999951947,2.3880915000045206
2,62,2.3747099000029266,2.35399740000139
2,63,2.336330199992517,2.3348958999995375
2,64,2.373167099998682,2.38733769999817
