threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,range_payload_bytes,range_file_bytes,range_file_bpp,range_decode_seconds,encoder_decoder_equal
0.5,24,37139,1024,0,0,34,34,0.265625,0.0,8192,1.0,4253,0.5191650390625,6946.9033203125,72.3193359375,9.712891060049213,0.05738457797846971,0.5191650390625,0.16855141874999902,0.16513288828124928,0,8,,1,1.925917215428034,17,2006,,6946.9033203125,4,38,0.296875,0.1585932343749903,True
0.5,25,29727,1024,0,0,34,34,0.265625,0.0,8192,1.0,4111,0.5018310546875,6207.1201171875,65.3759765625,10.201902111443529,0.07967761288202059,0.5018310546875,0.16855141874999902,0.16513288828124928,0,8,,0,1.9929440389294404,12,1954,,6207.1201171875,4,38,0.296875,0.1585932343749903,True
0.5,26,41854,1024,0,0,34,34,0.265625,0.0,8192,1.0,4876,0.59521484375,5604.0859375,71.400390625,10.645755743869582,0.22937949571962177,0.59521484375,0.16855141874999902,0.16513288828124928,0,8,,0,1.6797948717948719,23,1797,,5604.0859375,4,38,0.296875,0.1585932343749903,True
0.5,27,40333,1024,0,0,34,34,0.265625,0.0,8192,1.0,3735,0.4559326171875,3125.5859375,39.908203125,13.18148916605588,0.06784412105836163,0.4559326171875,0.16855141874999902,0.16513288828124928,0,8,,0,2.1933583288698446,10,1924,,3125.5859375,4,38,0.296875,0.1585932343749903,True
0.5,28,33248,1024,0,0,34,34,0.265625,0.0,8192,1.0,3857,0.4708251953125,3533.873046875,48.806640625,12.648294172908237,0.18375904923846526,0.4708251953125,0.16855141874999902,0.16513288828124928,0,8,,1,2.1218879668049793,12,2152,,3533.873046875,4,38,0.296875,0.1585932343749903,True
0.5,29,9680,1024,0,0,34,34,0.265625,0.0,8192,1.0,4213,0.5142822265625,11229.7412109375,91.0361328125,7.627106127949505,0.03154837346729832,0.5142822265625,0.16855141874999902,0.16513288828124928,0,8,,0,1.944681861348528,10,2173,,11229.7412109375,4,38,0.296875,0.1585932343749903,True
0.5,30,16805,1024,0,0,34,34,0.265625,0.0,8192,1.0,3688,0.4501953125,1822.28515625,32.259765625,15.524640233045883,0.14205808379291682,0.4501953125,0.16855141874999902,0.16513288828124928,0,8,,2,2.220233251966368,10,1833,,1822.28515625,4,38,0.296875,0.1585932343749903,True
0.5,31,14652,1024,0,0,34,34,0.265625,0.0,8192,1.0,4853,0.5924072265625,3802.498046875,56.939453125,12.330113612149658,0.2353542313854237,0.5924072265625,0.16855141874999902,0.16513288828124928,0,8,,0,1.6881698268755152,23,1733,,3802.498046875,4,38,0.296875,0.1585932343749903,True
0.5,32,15793,1024,0,0,34,34,0.265625,0.0,8192,1.0,4477,0.5465087890625,15635.884765625,117.12109375,6.189578997880284,0.13135487586559494,0.5465087890625,0.16855141874999902,0.16513288828124928,0,8,,0,1.8295352993744414,11,2177,,15635.884765625,4,38,0.296875,0.1585932343749903,True
0.5,33,30210,1024,0,0,34,34,0.265625,0.0,8192,1.0,3590,0.438232421875,5028.5693359375,60.0478515625,11.11635918135198,0.2928558531694625,0.438232421875,0.16855141874999902,0.16513288828124928,0,8,,1,2.2819726943438283,10,2296,,5028.5693359375,4,38,0.296875,0.1585932343749903,True
