image_index,dataset_index,codec,quality,file_bytes,file_bpp,mse,psnr_db,ssim,lossless
125,33872,jpeg,1,353,2.7578125,981.353515625,18.212548782294085,0.4384706288729091,False
125,33872,jpeg,5,378,2.953125,532.716796875,20.865839703058704,0.6832793917179374,False
125,33872,jpeg,10,408,3.1875,313.552734375,23.167697684218393,0.8151525885790493,False
125,33872,jpeg,20,460,3.59375,190.1259765625,25.340389030922424,0.8847066225107617,False
125,33872,jpeg,35,511,3.9921875,130.220703125,26.984003248832714,0.9188995870608458,False
125,33872,jpeg,50,557,4.3515625,96.7958984375,28.272234056638545,0.9364663100737748,False
125,33872,jpeg,75,653,5.1015625,44.78515625,31.61946267113802,0.9714085730204762,False
125,33872,jpeg,90,844,6.59375,12.818359375,37.05247917586818,0.9914875312585779,False
125,33872,jpeg,95,1019,7.9609375,3.75390625,42.38596938511215,0.9975427056447224,False
125,33872,webp,1,126,0.984375,296.2783203125,23.41380487022417,0.7869482809711744,False
125,33872,webp,5,166,1.296875,204.5078125,25.023704575180382,0.8728383792871185,False
125,33872,webp,10,194,1.515625,150.8310546875,26.345895930018422,0.9018611862719595,False
125,33872,webp,20,234,1.828125,95.5087890625,28.330370221039487,0.9412660286504313,False
125,33872,webp,35,282,2.203125,62.5966796875,30.165290633066828,0.9612605494749641,False
125,33872,webp,50,330,2.578125,41.392578125,31.96157883715969,0.9719021279740553,False
125,33872,webp,75,408,3.1875,22.498046875,34.60935543566668,0.9863117166008054,False
125,33872,webp,90,628,4.90625,4.46875,41.62894301722755,0.9971499800114664,False
125,33872,webp,95,760,5.9375,1.8447265625,45.47148359585889,0.9987808652121809,False
126,46987,raw,,1024,8.0,0.0,,1.0,True
126,46987,zlib,,924,7.21875,0.0,,1.0,True
126,46987,png,,759,5.9296875,0.0,,1.0,True
126,46987,jpeg,1,350,2.734375,466.9228515625,21.43835231711915,0.49580733472029004,False
126,46987,jpeg,5,363,2.8359375,244.3486328125,24.25070447475678,0.6637149750778989,False
126,46987,jpeg,10,376,2.9375,146.326171875,26.477583499555482,0.7687508704000714,False
126,46987,jpeg,20,410,3.203125,82.19921875,28.98212670994239,0.8491827357525592,False
126,46987,jpeg,35,435,3.3984375,54.16015625,30.794004522658796,0.8879064437914118,False
126,46987,jpeg,50,457,3.5703125,38.5810546875,32.26706265120943,0.9185105146165725,False
126,46987,jpeg,75,521,4.0703125,23.3095703125,34.455460930371736,0.9462996499757356,False
126,46987,jpeg,90,655,5.1171875,7.611328125,39.31619916051051,0.9787169691547638,False
126,46987,jpeg,95,786,6.140625,2.75,43.73747667037648,0.9904763452919759,False
126,46987,webp,1,96,0.75,159.91015625,26.09204313236379,0.7874080853472947,False
126,46987,webp,5,104,0.8125,109.9130859375,27.720309595078998,0.8419979419818129,False
126,46987,webp,10,124,0.96875,77.029296875,29.26424427237543,0.8954011878154492,False
126,46987,webp,20,140,1.09375,57.740234375,30.516018184627548,0.917061300875521,False
126,46987,webp,35,160,1.25,39.5869140625,32.155287125600914,0.9431974713795797,False
126,46987,webp,50,186,1.453125,27.376953125,33.75695248502767,0.9555925238290491,False
126,46987,webp,75,226,1.765625,15.833984375,36.134901488264646,0.9736249348013797,False
126,46987,webp,90,354,2.765625,4.12109375,41.98067866546048,0.9926114131866008,False
126,46987,webp,95,466,3.640625,1.662109375,45.924207617591534,0.9961130582612022,False
127,26772,raw,,1024,8.0,0.0,,1.0,True
127,26772,zlib,,1021,7.9765625,0.0,,1.0,True
127,26772,png,,884,6.90625,0.0,,1.0,True
127,26772,jpeg,1,352,2.75,702.3046875,19.665547937636127,0.5217871445501107,False
127,26772,jpeg,5,367,2.8671875,413.67578125,21.964202651050286,0.6983424643088483,False
127,26772,jpeg,10,399,3.1171875,251.5341796875,24.12483353419949,0.7842858733949261,False
127,26772,jpeg,20,440,3.4375,140.2626953125,26.66138180746193,0.8864763216541053,False
127,26772,jpeg,35,484,3.78125,95.4619140625,28.33250222913444,0.9226114742730798,False
127,26772,jpeg,50,518,4.046875,73.8076171875,29.449791761208918,0.9368989967651834,False
127,26772,jpeg,75,616,4.8125,38.5498046875,32.27058178827391,0.9657195562788748,False
127,26772,jpeg,90,788,6.15625,11.216796875,37.632115055625746,0.9886379392205971,False
127,26772,jpeg,95,948,7.40625,3.7255859375,42.41885775216823,0.9966820701778341,False
127,26772,webp,1,120,0.9375,251.359375,24.127852730351115,0.8281894423604234,False
127,26772,webp,5,140,1.09375,186.1572265625,25.43200460816861,0.8746092098813082,False
127,26772,webp,10,168,1.3125,143.0283203125,26.57658322439928,0.9181393862710391,False
127,26772,webp,20,194,1.515625,95.8359375,28.315519652417805,0.9384985236747274,False
127,26772,webp,35,236,1.84375,62.6533203125,30.161362694932556,0.9588166110245923,False
127,26772,webp,50,274,2.140625,40.8095703125,32.02318338794777,0.9720643838640185,False
127,26772,webp,75,346,2.703125,22.421875,34.62408433781786,0.9852500926628861,False
127,26772,webp,90,550,4.296875,5.2705078125,40.91227899442509,0.9960772064834729,False
127,26772,webp,95,666,5.203125,2.130859375,44.84525571255399,0.9983302217227517,False
128,7057,raw,,1024,8.0,0.0,,1.0,True
128,7057,zlib,,960,7.5,0.0,,1.0,True
128,7057,png,,795,6.2109375,0.0,,1.0,True
128,7057,jpeg,1,355,2.7734375,636.1650390625,20.09510562427023,0.5321961445967509,False
128,7057,jpeg,5,369,2.8828125,336.720703125,22.858105412528293,0.6463584801228519,False
128,7057,jpeg,10,397,3.1015625,161.623046875,26.045770711560117,0.8269014763803839,False
128,7057,jpeg,20,434,3.390625,90.44140625,28.567130544096795,0.8854337768870009,False
128,7057,jpeg,35,476,3.71875,53.509765625,30.846473121173915,0.9382572559454904,False
128,7057,jpeg,50,505,3.9453125,35.978515625,32.57037119289444,0.9560080713020109,False
128,7057,jpeg,75,578,4.515625,20.498046875,35.01367878925322,0.9736222326922641,False
128,7057,jpeg,90,719,5.6171875,7.328125,39.48087492136714,0.9896684455132383,False
128,7057,jpeg,95,864,6.75,2.7705078125,43.7052098171187,0.9961180771956895,False
128,7057,webp,1,108,0.84375,166.013671875,25.929365055063496,0.8116092965466323,False
128,7057,webp,5,126,0.984375,114.275390625,27.55127646364936,0.8757797317867764,False
128,7057,webp,10,136,1.0625,82.5673828125,28.962718421446322,0.9071684307337112,False
128,7057,webp,20,164,1.28125,62.6474609375,30.16176886865412,0.9291933573218188,False
128,7057,webp,35,186,1.453125,39.912109375,32.11975679796129,0.9542228689644411,False
128,7057,webp,50,220,1.71875,26.955078125,33.824397659680585,0.9695105148232194,False
128,7057,webp,75,276,2.15625,15.7236328125,36.165274675010245,0.980727020231933,False
128,7057,webp,90,420,3.28125,3.9228515625,42.19478485776051,0.9952076904885562,False
128,7057,webp,95,542,4.234375,1.783203125,45.61879544309442,0.9976668843288995,False
129,30014,raw,,1024,8.0,0.0,,1.0,True
129,30014,zlib,,1030,8.046875,0.0,,1.0,True
129,30014,png,,854,6.671875,0.0,,1.0,True
129,30014,jpeg,1,353,2.7578125,672.7841796875,19.852045902587932,0.5561582619692549,False
129,30014,jpeg,5,371,2.8984375,369.857421875,22.45046022818446,0.7547305141912283,False
129,30014,jpeg,10,401,3.1328125,183.2412109375,25.50057207747839,0.8771042822433394,False
129,30014,jpeg,20,437,3.4140625,101.1630859375,28.08058292022487,0.9288960772105082,False
129,30014,jpeg,35,476,3.71875,62.7529296875,30.154463547401086,0.9518283573449171,False
129,30014,jpeg,50,506,3.953125,48.4326171875,31.27942422909986,0.9627287512315588,False
129,30014,jpeg,75,593,4.6328125,27.091796875,33.80242550112434,0.9759740833452109,False
129,30014,jpeg,90,750,5.859375,8.0634765625,39.0655803291181,0.9929364470583161,False
