variant,threshold,file_bpp,psnr_db,mse,ssim,omitted_fraction,omitted_error_rate,range_file_bpp,file_bpp_ci95,mse_ci95,val_bce_nats,val_bit_accuracy,val_ece,parameters,train_images,optimizer_steps,train_seconds
n00256,0.8,1.15734375,10.17669557585007,6243.25111328125,0.11431236069054464,0.888951416015625,0.44994637675786053,1.2364453125,"[1.0369374999999998, 1.2776874999999999]","[5422.920036376953, 6997.026176513672]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n00256,0.85,3.46078125,10.866609118477736,5326.224267578125,0.2177764449462555,0.6010546875,0.37476644245142005,3.547578125,"[3.1847431640624997, 3.722890625]","[4605.904096923829, 6092.405054199218]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n00256,0.9,4.6986328125,11.998223601701234,4104.478647460937,0.4295774283958341,0.4463226318359375,0.30538594607900116,4.5611328125,"[4.392345703125001, 4.987733398437499]","[3330.6309653320313, 4995.126780029296]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n00256,0.925,5.39671875,13.315712625647457,3030.4637841796875,0.5927279038943185,0.359031982421875,0.2539006320570925,5.049609375,"[5.08890234375, 5.6930126953125]","[2281.487236328125, 3776.6986099853516]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n00256,0.95,6.6868359375,21.605387930706662,449.3053271484375,0.8474565482422761,0.1977996826171875,0.08789323459075832,5.947734375,"[6.5999560546875, 6.772265625]","[404.02672607421874, 491.0932839355468]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n00256,0.975,7.3898046875,27.521433482469703,115.063349609375,0.9655519321829863,0.10994140625,0.03251021495825191,6.0839453125,"[7.32151171875, 7.4565712890625]","[94.03388610839843, 139.48143774414064]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n00256,0.99,7.9630859375,36.778944264277214,13.6516748046875,0.9962989420694415,0.03826171875,0.0071145992853496685,6.1034375,"[7.91819921875, 8.005017578125]","[10.366062744140626, 17.34307043457031]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n00256,1.0,8.265625,,0.0,1.0,0.0,,6.10234375,"[8.265625, 8.265625]","[0.0, 0.0]",0.4979910751571879,0.7217564582824707,0.014000625291231514,161505,256,64000,1851.9537658999998
n01024,0.5,0.265625,12.45391833910393,3695.6303662109376,0.14001809952094463,1.0,0.5096539306640625,0.296875,"[0.265625, 0.265625]","[3404.570572998047, 3944.2580308837887]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,0.55,0.2748046875,12.059975219576877,4046.530693359375,0.13780083206056032,0.99913818359375,0.47765957966704703,0.2987109375,"[0.2744140625, 0.275234375]","[3637.830881713867, 4461.93835119629]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,0.6,0.2803125,9.723534179633015,6929.899604492188,0.1299989653532857,0.998660888671875,0.46643576664552017,0.3042578125,"[0.2796875, 0.2809765625]","[6078.122392700196, 7765.4151120605475]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,0.65,0.284296875,9.763975873939003,6865.6676025390625,0.13101123440679602,0.9981781005859375,0.4649131871726748,0.3083984375,"[0.283203125, 0.2854296875]","[6051.216535888672, 7673.754122680663]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,0.7,0.293671875,9.734853705879065,6911.860913085938,0.1301048939878211,0.996927490234375,0.46529926544326256,0.317421875,"[0.2906640625, 0.29758203125000005]","[6041.543678833008, 7731.030935302734]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,0.75,0.328046875,9.90391744361754,6647.963349609375,0.13229534777875104,0.992623291015625,0.46239963500283465,0.3541015625,"[0.31894433593750005, 0.33832617187499997]","[5854.2958189697265, 7399.095660156249]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,0.8,0.7746875,9.670949945418005,7014.316630859375,0.13311321350340882,0.936800537109375,0.45421584072491583,0.829609375,"[0.6703759765625, 0.8863349609375]","[6157.782889892578, 7888.843143798828]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,0.85,2.9767578125,9.627830791719775,7084.3055078125,0.1931293373397923,0.6615869140625,0.39963595905323523,3.0778515625,"[2.6619033203125, 3.278296875]","[6080.628428955079, 8086.552054321289]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,0.9,5.06515625,12.657079641239468,3526.7314990234377,0.4341418290906961,0.4004779052734375,0.258544250262519,4.9227734375,"[4.7613935546875, 5.3262275390625]","[2810.5479404296875, 4296.66084375]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,0.925,5.6780078125,14.136816378960827,2508.41115234375,0.5855984825550979,0.3238897705078125,0.19869182020159762,5.30328125,"[5.395619140625, 5.91845703125]","[1890.6574133300783, 3168.2022316894527]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,0.95,6.2719921875,16.290533023932156,1527.6612353515625,0.7629082121306016,0.2496343994140625,0.14451309410001442,5.569609375,"[6.0416005859375, 6.493302734375]","[995.7554294433594, 2059.6756739501952]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,0.975,7.2115625,25.053013649280615,203.1323046875,0.9515875077501507,0.1322039794921875,0.03301431651454504,5.92109375,"[7.1188642578125005, 7.2969345703125]","[139.3125341796875, 280.1797177734375]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,0.99,7.9279296875,38.544262049726434,9.0918896484375,0.997694349220478,0.042633056640625,0.005282748747315677,5.9600390625,"[7.888744140625, 7.967384765625001]","[6.659022705078125, 11.667391479492188]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n01024,1.0,8.265625,,0.0,1.0,0.0,,5.9628515625,"[8.265625, 8.265625]","[0.0, 0.0]",0.484595860587433,0.7280960083007812,0.011548100014778115,161505,1024,64000,1843.6093842999999
n05000,0.5,0.265625,10.846189147647372,5351.326459960937,0.1360310692882219,1.0,0.5058758544921875,0.296875,"[0.265625, 0.265625]","[4976.112100830078, 5733.208342529297]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,0.55,0.27484375,7.066106797563964,12778.199995117187,0.1256700752094666,0.999454345703125,0.4857637162856197,0.2984375,"[0.2744140625, 0.2752734375]","[11669.280063720702, 13899.196885742187]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,0.6,0.2791015625,7.717472404832705,10998.491420898437,0.1268570649980374,0.9988409423828125,0.4856611758868464,0.3028515625,"[0.2784365234375, 0.2798046875]","[10020.618724487304, 12016.466593627929]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,0.65,0.3941015625,9.036672703873808,8117.327915039063,0.11513566225357622,0.98438232421875,0.46579886558383743,0.41890625,"[0.35972265625, 0.4292587890625]","[7185.456442871094, 9014.573844970702]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,0.7,0.5002734375,8.941584434527048,8297.015805664063,0.11001343171059698,0.9711187744140625,0.4676732359948991,0.529609375,"[0.4480029296875, 0.559736328125]","[7410.288879516602, 9133.621574707031]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,0.75,0.900625,8.910815453381858,8356.007392578125,0.10690418013731245,0.9210247802734375,0.4630323119773467,0.954921875,"[0.79291015625, 1.0191425781249999]","[7441.396280517578, 9206.573662963867]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,0.8,1.4753125,9.27798612921886,7678.594755859375,0.10960735708075653,0.8491778564453125,0.450523362081172,1.558359375,"[1.2978671875, 1.6784970703125]","[6836.657075073242, 8541.525297485352]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,0.85,2.9863671875,9.158298787282524,7893.152290039063,0.2006365723355725,0.6603790283203125,0.39943713521232205,3.0037109375,"[2.660603515625, 3.2873281249999997]","[6935.339018066406, 8844.552115234375]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,0.9,4.929375,12.124433267096846,3986.91552734375,0.49078917499334024,0.417459716796875,0.3045853156443449,4.6944140625,"[4.6208671875, 5.2437626953125]","[3209.2611381835936, 4718.035314819335]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,0.925,5.8065234375,14.254761396084813,2441.204833984375,0.6631949029170494,0.3077972412109375,0.23810666375831607,5.337734375,"[5.528916015625001, 6.082638671875]","[1813.9845390624998, 3063.5751174316406]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,0.95,6.7209375,17.94801745306946,1042.986328125,0.8332654682690793,0.1934869384765625,0.1480683513717276,5.9103125,"[6.5483115234375, 6.881344726562499]","[654.295196899414, 1514.57178137207]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,0.975,7.371328125,21.76147469030477,433.443896484375,0.9485033274261206,0.1122027587890625,0.11241180854362383,6.0537109375,"[7.230844726562499, 7.488560546875]","[207.8532607421875, 710.710830932617]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,0.99,7.992734375,27.434360714444207,117.393564453125,0.9899475501589129,0.034541015625,0.09916595985298275,6.164296875,"[7.8940888671875005, 8.059259765625]","[7.259399414062501, 311.2272714843748]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
n05000,1.0,8.265625,,0.0,1.0,0.0,,6.210078125,"[8.265625, 8.265625]","[0.0, 0.0]",0.5074037960730493,0.7158036231994629,0.01046772609785761,161505,5000,64000,1842.4489965000012
