image_index,dataset_index,codec,quality,file_bytes,file_bpp,mse,psnr_db,ssim,lossless
3,27119,jpeg,5,399,3.1171875,642.9814453125,20.048819203148582,0.793093058660728,False
3,27119,jpeg,10,437,3.4140625,404.0185546875,22.066790501796962,0.8491714413074741,False
3,27119,jpeg,20,492,3.84375,233.796875,24.44241658915169,0.9298267474311072,False
3,27119,jpeg,35,550,4.296875,144.9189453125,26.51955196191501,0.950670483210304,False
3,27119,jpeg,50,608,4.75,98.5947265625,28.19226673979978,0.968867969017075,False
3,27119,jpeg,75,718,5.609375,41.7548828125,31.923730917182308,0.9853473694061493,False
3,27119,jpeg,90,931,7.2734375,10.1865234375,38.050543721048015,0.9953412746395267,False
3,27119,jpeg,95,1114,8.703125,3.033203125,43.31178866115182,0.9985617134582299,False
3,27119,webp,1,158,1.234375,310.9560546875,23.203813434013693,0.9023555604186959,False
3,27119,webp,5,186,1.453125,197.4716796875,25.175755405882448,0.9396133749292849,False
3,27119,webp,10,210,1.640625,138.7080078125,26.709788266267005,0.9567446966687634,False
3,27119,webp,20,250,1.953125,92.486328125,28.47002823358231,0.9709220619850628,False
3,27119,webp,35,302,2.359375,48.009765625,31.317507750407497,0.9813569575964,False
3,27119,webp,50,336,2.625,34.13671875,32.7985858683243,0.9878648162000024,False
3,27119,webp,75,404,3.15625,18.990234375,35.34550036091869,0.9920797087304166,False
3,27119,webp,90,608,4.75,3.599609375,42.568249866246674,0.9986193438378734,False
3,27119,webp,95,704,5.5,1.640625,45.980710357818595,0.9992599446897819,False
4,21139,raw,,1024,8.0,0.0,,1.0,True
4,21139,zlib,,984,7.6875,0.0,,1.0,True
4,21139,png,,768,6.0,0.0,,1.0,True
4,21139,jpeg,1,351,2.7421875,463.037109375,21.474645626124612,0.6125762879921877,False
4,21139,jpeg,5,364,2.84375,235.953125,24.402546272869774,0.7442281806604159,False
4,21139,jpeg,10,385,3.0078125,116.927734375,27.451628261181263,0.8653224711441997,False
4,21139,jpeg,20,416,3.25,60.9140625,30.283627962951037,0.9139132064937745,False
4,21139,jpeg,35,451,3.5234375,36.3212890625,32.52919107395623,0.950741150453232,False
4,21139,jpeg,50,480,3.75,24.3701171875,34.26222743305581,0.9653792567298545,False
4,21139,jpeg,75,540,4.21875,12.673828125,37.10172547684987,0.9843163402678156,False
4,21139,jpeg,90,662,5.171875,4.53515625,41.564881064411864,0.9929911169271812,False
4,21139,jpeg,95,782,6.109375,1.9599609375,45.20832945020237,0.9966199044425652,False
4,21139,webp,1,100,0.78125,129.8427734375,26.996625774343762,0.8536641205458382,False
4,21139,webp,5,114,0.890625,93.638671875,28.416251156195862,0.9020099440563235,False
4,21139,webp,10,124,0.96875,78.798828125,29.16560602041177,0.9169045332494833,False
4,21139,webp,20,142,1.109375,55.439453125,30.692614232823097,0.9417533009985912,False
4,21139,webp,35,164,1.28125,39.076171875,32.21168349705425,0.9513571019889355,False
4,21139,webp,50,190,1.484375,25.2353515625,34.11071001447888,0.9657060145660885,False
4,21139,webp,75,238,1.859375,15.27734375,36.29032510227629,0.9810208267237175,False
4,21139,webp,90,374,2.921875,3.826171875,42.30315885849005,0.9942569666809812,False
4,21139,webp,95,468,3.65625,2.029296875,45.057347742865645,0.9970806107245018,False
5,19129,raw,,1024,8.0,0.0,,1.0,True
5,19129,zlib,,1032,8.0625,0.0,,1.0,True
5,19129,png,,845,6.6015625,0.0,,1.0,True
5,19129,jpeg,1,357,2.7890625,745.3388671875,19.407265918918725,0.5594322513252593,False
5,19129,jpeg,5,377,2.9453125,354.3251953125,22.63678325677997,0.7909762578284074,False
5,19129,jpeg,10,403,3.1484375,178.60546875,25.611856083781678,0.887800925263263,False
5,19129,jpeg,20,439,3.4296875,103.654296875,27.974930508642473,0.9290944809986075,False
5,19129,jpeg,35,476,3.71875,71.4296875,29.592016107478827,0.9529424274099116,False
5,19129,jpeg,50,510,3.984375,56.3740234375,30.620013291637722,0.9611841066150804,False
5,19129,jpeg,75,599,4.6796875,31.1875,33.19099797900445,0.980079977658152,False
5,19129,jpeg,90,758,5.921875,10.18359375,38.05179295011431,0.9926011970304747,False
5,19129,jpeg,95,917,7.1640625,3.3984375,42.81801073561141,0.9972499248342239,False
5,19129,webp,1,116,0.90625,216.4072265625,24.778086016431082,0.8303929517813851,False
5,19129,webp,5,134,1.046875,147.708984375,26.436734488611858,0.8809749619473802,False
5,19129,webp,10,158,1.234375,101.8681640625,28.050418817902553,0.938260176334256,False
5,19129,webp,20,188,1.46875,67.7939453125,29.818894521747215,0.9573499293241226,False
5,19129,webp,35,212,1.65625,55.1728515625,30.7135493018451,0.9597126337943612,False
5,19129,webp,50,256,2.0,38.6328125,32.261240345825804,0.9715590178262754,False
5,19129,webp,75,318,2.484375,19.38671875,35.25576050982436,0.9863103169272234,False
5,19129,webp,90,498,3.890625,4.4560546875,41.64129848735062,0.9968872062463265,False
5,19129,webp,95,630,4.921875,1.8876953125,45.37148463479169,0.9985431251250495,False
6,6433,raw,,1024,8.0,0.0,,1.0,True
6,6433,zlib,,884,6.90625,0.0,,1.0,True
6,6433,png,,774,6.046875,0.0,,1.0,True
6,6433,jpeg,1,349,2.7265625,518.4150390625,20.984027690718875,0.39460760522684585,False
6,6433,jpeg,5,360,2.8125,307.4716796875,23.25275240502347,0.5912002055059903,False
6,6433,jpeg,10,383,2.9921875,164.2939453125,25.974588020939734,0.7616866135906151,False
6,6433,jpeg,20,418,3.265625,104.52734375,27.93850446627948,0.8421194051169716,False
6,6433,jpeg,35,462,3.609375,69.404296875,29.71694002065295,0.883471796528618,False
6,6433,jpeg,50,496,3.875,54.7783203125,30.74471649674988,0.9180735047443577,False
6,6433,jpeg,75,575,4.4921875,31.5478515625,33.14110572131534,0.9476924158860903,False
6,6433,jpeg,90,745,5.8203125,9.9345703125,38.159312730099735,0.9836554408008384,False
6,6433,jpeg,95,900,7.03125,3.486328125,42.70712101395529,0.9947559594427061,False
6,6433,webp,1,102,0.796875,197.4521484375,25.17618497297881,0.7059695789950371,False
6,6433,webp,5,116,0.90625,118.60546875,27.389756466019612,0.7967166600533729,False
6,6433,webp,10,132,1.03125,102.2802734375,28.032884804631756,0.8211232145667618,False
6,6433,webp,20,150,1.171875,72.3212890625,29.538142024196677,0.8703106074680618,False
6,6433,webp,35,192,1.5,40.3935546875,32.06768287513799,0.9312525444027974,False
6,6433,webp,50,218,1.703125,29.810546875,33.38710417622389,0.9483913654870528,False
6,6433,webp,75,270,2.109375,16.2431640625,36.02409729987434,0.9727032864027434,False
6,6433,webp,90,428,3.34375,3.818359375,42.31203560111855,0.9935901612450845,False
6,6433,webp,95,518,4.046875,1.77734375,45.633089295226476,0.9970310586512443,False
7,38854,raw,,1024,8.0,0.0,,1.0,True
7,38854,zlib,,1007,7.8671875,0.0,,1.0,True
7,38854,png,,804,6.28125,0.0,,1.0,True
7,38854,jpeg,1,359,2.8046875,623.205078125,20.18449377383311,0.6596283934760587,False
7,38854,jpeg,5,373,2.9140625,350.8828125,22.679182654345563,0.778213908297554,False
7,38854,jpeg,10,399,3.1171875,176.751953125,25.657161393793217,0.8756537765315262,False
7,38854,jpeg,20,438,3.421875,96.8212890625,28.27109500400224,0.9214532914415149,False
7,38854,jpeg,35,480,3.75,55.0947265625,30.719703288837987,0.9539366878870467,False
7,38854,jpeg,50,507,3.9609375,39.75390625,32.13700551662357,0.964250607052742,False
7,38854,jpeg,75,582,4.546875,19.517578125,35.22654434432902,0.9823845283253284,False
7,38854,jpeg,90,728,5.6875,6.32421875,40.120734774263866,0.994396628735877,False
7,38854,jpeg,95,868,6.78125,2.5888671875,43.99970589774629,0.9974708836639031,False
7,38854,webp,1,110,0.859375,169.29296875,25.844414399502824,0.8766525341615784,False
7,38854,webp,5,132,1.03125,99.8828125,28.135895981534244,0.9209907841060453,False
7,38854,webp,10,144,1.125,83.4580078125,28.916123472111806,0.9317198148263287,False
7,38854,webp,20,170,1.328125,56.501953125,30.61016900362645,0.9521793666078435,False
7,38854,webp,35,198,1.546875,38.2587890625,32.303491409109995,0.9647222989955372,False
7,38854,webp,50,226,1.765625,27.833984375,33.685049817627764,0.9750479841688472,False
7,38854,webp,75,274,2.140625,15.6083984375,36.197220180514755,0.9839288231610163,False
7,38854,webp,90,430,3.359375,3.9423828125,42.17321568097408,0.9963933676825316,False
7,38854,webp,95,546,4.265625,1.84375,45.473783275456725,0.9984660165519148,False
8,22489,raw,,1024,8.0,0.0,,1.0,True
8,22489,zlib,,998,7.796875,0.0,,1.0,True
8,22489,png,,837,6.5390625,0.0,,1.0,True
8,22489,jpeg,1,351,2.7421875,597.8408203125,20.364947957129537,0.5249736156316711,False
8,22489,jpeg,5,366,2.859375,265.7041015625,23.886821023845716,0.7540320056530424,False
8,22489,jpeg,10,394,3.078125,143.3251953125,26.567578185978363,0.8655044083966383,False
8,22489,jpeg,20,427,3.3359375,75.669921875,29.341570752850913,0.9131634994045629,False
8,22489,jpeg,35,468,3.65625,48.3740234375,31.28468150179153,0.9465540547333835,False
8,22489,jpeg,50,499,3.8984375,36.8564453125,32.46566914293324,0.9591672821065385,False
8,22489,jpeg,75,567,4.4296875,18.3466796875,35.49522882136604,0.9779208823901727,False
8,22489,jpeg,90,705,5.5078125,6.9775390625,39.69378084380733,0.9916149591982931,False
8,22489,jpeg,95,863,6.7421875,2.9052734375,43.49893347443154,0.9959925406476263,False
8,22489,webp,1,104,0.8125,210.623046875,24.895744698826107,0.7664905527126818,False
8,22489,webp,5,120,0.9375,141.7080078125,26.616859682738262,0.8593225992580313,False
8,22489,webp,10,132,1.03125,110.6962890625,27.68947298857233,0.892365592139705,False
8,22489,webp,20,164,1.28125,69.640625,29.70217700765621,0.9344459329586986,False
8,22489,webp,35,194,1.515625,47.65625,31.34960495505012,0.9518115808792899,False
8,22489,webp,50,226,1.765625,31.1767578125,33.192494115722695,0.9680417255568018,False
8,22489,webp,75,280,2.1875,17.69140625,35.653180054968026,0.9804251533958374,False
8,22489,webp,90,460,3.59375,4.228515625,41.86892421154357,0.995342357339844,False
8,22489,webp,95,584,4.5625,1.7744140625,45.64025390199688,0.997952187561917,False
9,31104,raw,,1024,8.0,0.0,,1.0,True
9,31104,zlib,,953,7.4453125,0.0,,1.0,True
9,31104,png,,759,5.9296875,0.0,,1.0,True
9,31104,jpeg,1,358,2.796875,646.7744140625,20.02327529675686,0.7084607885232239,False
9,31104,jpeg,5,371,2.8984375,320.79296875,23.06855520166448,0.8182265334665328,False
