threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,encoder_decoder_equal
0.7,19,48310,1024,8078,1010,34,1044,8.15625,7.888671875,114,0.013916015625,11,0.09649122807017543,33.8134765625,0.4619140625,32.83990535435217,0.9953602861702125,0.0013427734375,0.12348190937499481,0.1268541945312478,1010,1008,0.998019801980198,258,700.9,1,11,0.0,34.904233870967744,True
0.8,0,712,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,994,0.970703125,,,0,0,,,True
0.8,1,24774,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,1035,1.0107421875,,,0,0,,,True
0.8,2,45142,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,968,0.9453125,,,0,0,,,True
0.8,3,27119,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,796,0.77734375,,,0,0,,,True
0.8,4,21139,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,984,0.9609375,,,0,0,,,True
0.8,5,19129,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,1032,1.0078125,,,0,0,,,True
0.8,6,6433,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,884,0.86328125,,,0,0,,,True
0.8,7,38854,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,1007,0.9833984375,,,0,0,,,True
0.8,8,22489,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,998,0.974609375,,,0,0,,,True
0.8,9,31104,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,953,0.9306640625,,,0,0,,,True
0.8,10,21349,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,923,0.9013671875,,,0,0,,,True
0.8,11,29116,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,993,0.9697265625,,,0,0,,,True
0.8,12,10772,1024,8192,1024,34,1058,8.265625,8.0,0,0.0,0,,0.0,0.0,,1.0,0.0,0.12348190937499481,0.1268541945312478,1024,1035,1.0107421875,,,0,0,,,True
